code,measured_delay_s,model_delay_s,error_s
0,5.001015174929e-10,5.000000000000e-10,1.015174929372e-13
1,4.831232085438e-10,4.820000000000e-10,1.123208543787e-12
2,4.528322387803e-10,4.510000000000e-10,1.832238780316e-12
3,4.046142500379e-10,4.030000000000e-10,1.614250037859e-12
4,2.416189629668e-10,2.400000000000e-10,1.618962966781e-12
5,8.823012338998e-11,8.700000000000e-11,1.230123389976e-12
6,4.021351659988e-11,4.000000000000e-11,2.135165998823e-13
7,1.236299879910e-11,1.200000000000e-11,3.629987990961e-13
8,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
